            0,000000  0,100000  0,200000  0,300000  0,400000  0,500000  0,600000  0,700000  0,800000  0,900000  1,000000
  1,000000  1,000000  1,009997  1,039995  1,089993  1,159992  1,249992  1,359992  1,489992  1,639994  1,809997  2,000000
  0,999000  0,999000  1,008997  1,038995  1,088993  1,158992  1,248992  1,358992  1,488992  1,638994  1,808997  1,999000
  0,998000  0,998000  1,007997  1,037995  1,087993  1,157992  1,247992  1,357992  1,487992  1,637994  1,807997  1,998000
  0,997000  0,997000  1,006997  1,036995  1,086993  1,156992  1,246992  1,356992  1,486992  1,636994  1,806997  1,997000
  0,996000  0,996000  1,005997  1,035995  1,085993  1,155992  1,245992  1,355992  1,485992  1,635994  1,805997  1,996000
  0,995000  0,995000  1,004997  1,034995  1,084993  1,154992  1,244992  1,354992  1,484992  1,634994  1,804997  1,995000
  0,994000  0,994000  1,003997  1,033995  1,083993  1,153992  1,243992  1,353992  1,483992  1,633994  1,803997  1,994000
  0,993000  0,993000  1,002997  1,032995  1,082993  1,152992  1,242992  1,352992  1,482992  1,632994  1,802997  1,993000
  0,992000  0,992000  1,001997  1,031995  1,081993  1,151992  1,241992  1,351992  1,481992  1,631994  1,801997  1,992000
  0,991000  0,991000  1,000997  1,030995  1,080993  1,150992  1,240992  1,350992  1,480993  1,630995  1,800997  1,991000
  0,990000  0,990000  0,999997  1,029995  1,079993  1,149992  1,239992  1,349992  1,479993  1,629995  1,799997  1,990000
  0,989000  0,989000  0,998997  1,028995  1,078993  1,148992  1,238992  1,348992  1,478993  1,628994  1,798997  1,989000
  0,988000  0,988000  0,997997  1,027995  1,077993  1,147992  1,237992  1,347992  1,477993  1,627995  1,797997  1,988000
  0,987000  0,987000  0,996997  1,026995  1,076993  1,146992  1,236992  1,346992  1,476993  1,626994  1,796997  1,987000
  0,986000  0,986000  0,995997  1,025995  1,075993  1,145992  1,235992  1,345992  1,475993  1,625995  1,795997  1,986000
  0,985000  0,985000  0,994997  1,024995  1,074993  1,144992  1,234992  1,344992  1,474993  1,624995  1,794997  1,985000
  0,984000  0,984000  0,993997  1,023995  1,073993  1,143992  1,233992  1,343992  1,473993  1,623995  1,793997  1,984000
  0,983000  0,983000  0,992997  1,022995  1,072993  1,142992  1,232992  1,342992  1,472993  1,622995  1,792997  1,983000
  0,982000  0,982000  0,991997  1,021995  1,071993  1,141992  1,231992  1,341992  1,471993  1,621994  1,791996  1,982000
  0,981000  0,981000  0,990997  1,020995  1,070993  1,140992  1,230992  1,340992  1,470993  1,620994  1,790996  1,981000
  0,980000  0,980000  0,989997  1,019995  1,069993  1,139992  1,229992  1,339992  1,469993  1,619994  1,789996  1,980000
  0,979000  0,979000  0,988997  1,018995  1,068993  1,138992  1,228992  1,338992  1,468993  1,618994  1,788996  1,979000
  0,978000  0,978000  0,987997  1,017995  1,067993  1,137992  1,227992  1,337992  1,467993  1,617994  1,787996  1,978000
  0,977000  0,977000  0,986997  1,016995  1,066993  1,136992  1,226992  1,336992  1,466993  1,616994  1,786996  1,977000
  0,976000  0,976000  0,985997  1,015995  1,065993  1,135992  1,225992  1,335992  1,465993  1,615994  1,785996  1,976000
  0,975000  0,975000  0,984997  1,014995  1,064994  1,134992  1,224992  1,334992  1,464993  1,614994  1,784996  1,975000
  0,974000  0,974000  0,983998  1,013995  1,063993  1,133992  1,223992  1,333992  1,463993  1,613994  1,783996  1,974000
  0,973000  0,973000  0,982998  1,012995  1,062994  1,132992  1,222992  1,332992  1,462993  1,612994  1,782996  1,973000
  0,972000  0,972000  0,981998  1,011995  1,061993  1,131992  1,221992  1,331992  1,461993  1,611994  1,781996  1,972000
  0,971000  0,971000  0,980998  1,010995  1,060994  1,130992  1,220992  1,330992  1,460993  1,610994  1,780997  1,971000
  0,970000  0,970000  0,979998  1,009995  1,059994  1,129992  1,219992  1,329992  1,459993  1,609994  1,779997  1,970000
  0,969000  0,969000  0,978997  1,008995  1,058994  1,128993  1,218992  1,328992  1,458993  1,608994  1,778997  1,969000
  0,968000  0,968000  0,977997  1,007995  1,057994  1,127993  1,217992  1,327992  1,457993  1,607994  1,777997  1,968000
  0,967000  0,967000  0,976997  1,006995  1,056994  1,126993  1,216992  1,326992  1,456993  1,606994  1,776997  1,967000
  0,966000  0,966000  0,975998  1,005995  1,055994  1,125993  1,215992  1,325992  1,455993  1,605994  1,775997  1,966000
  0,965000  0,965000  0,974998  1,004995  1,054994  1,124993  1,214992  1,324992  1,454993  1,604994  1,774997  1,965000
  0,964000  0,964000  0,973998  1,003995  1,053994  1,123993  1,213992  1,323992  1,453993  1,603994  1,773997  1,964000
  0,963000  0,963000  0,972998  1,002995  1,052994  1,122993  1,212992  1,322992  1,452993  1,602994  1,772997  1,963000
  0,962000  0,962000  0,971998  1,001996  1,051994  1,121993  1,211992  1,321992  1,451993  1,601994  1,771997  1,962000
